n_simbolos_processados,comprimento_medio_progressivo
100,6.604978
200,5.522077
300,5.190931
400,4.885032
500,4.721837
600,4.631229
700,4.411673
800,4.212986
900,4.028180
1000,3.922324
1100,3.995626
1200,3.952744
1300,3.936618
1400,3.898396
1500,3.791369
1600,3.788599
1700,3.795288
1800,3.793202
1900,3.758991
2000,3.716790
2100,3.729026
2200,3.711776
2300,3.699219
2400,3.674371
2500,3.661594
2600,3.648403
2700,3.613986
2800,3.627728
2900,3.595802
3000,3.576767
3100,3.537122
3200,3.550113
3300,3.567114
3400,3.579540
3500,3.607851
3600,3.610653
3700,3.600164
3800,3.629598
3900,3.630175
4000,3.637293
# RESET at symbol 4000
4100,3.687421
4200,3.729309
4300,3.779885
4400,3.799685
4500,3.806828
4600,3.797092
4700,3.802850
4800,3.812712
4900,3.794672
5000,3.794551
# RESET at symbol 5000
5100,3.833908
5200,3.865787
5300,3.863550
5400,3.887433
5500,3.896525
5600,3.879240
5700,3.879923
5800,3.859931
5900,3.855947
6000,3.837284
6100,3.834470
6200,3.830461
6300,3.817552
6400,3.844718
6500,3.828887
6600,3.815452
6700,3.848711
6800,3.868730
6900,3.870136
7000,3.857051
7100,3.846357
7200,3.815932
7300,3.805513
7400,3.783457
7500,3.793642
7600,3.789041
7700,3.786873
7800,3.784098
7900,3.769312
8000,3.769055
8100,3.752993
8200,3.741013
8300,3.730585
8400,3.713374
8500,3.708768
8600,3.694528
8700,3.681522
8800,3.675708
8900,3.675295
9000,3.675164
9100,3.669018
9200,3.667154
9300,3.647492
9400,3.633432
9500,3.629245
9600,3.620229
9700,3.609938
9800,3.594720
9900,3.579340
10000,3.567958
10100,3.564666
10200,3.560790
10300,3.547907
10400,3.544479
10500,3.548692
10600,3.541302
10700,3.535476
10800,3.528396
10900,3.542449
11000,3.541675
# RESET at symbol 11000
11100,3.566170
11200,3.579629
11300,3.576476
11400,3.580199
11500,3.581169
11600,3.581503
11700,3.583251
11800,3.586637
11900,3.585738
12000,3.581573
# RESET at symbol 12000
12100,3.594227
12200,3.596679
12300,3.591898
12400,3.594666
12500,3.593533
12600,3.598949
12700,3.598467
12800,3.596625
12900,3.592919
13000,3.588922
13100,3.578799
13200,3.577863
13300,3.575512
13400,3.572376
13500,3.570916
13600,3.571684
13700,3.564553
13800,3.561718
13900,3.555913
14000,3.548053
14100,3.540172
14200,3.537192
14300,3.533672
14400,3.529482
14500,3.527859
14600,3.529708
14700,3.528467
14800,3.523377
14900,3.521336
15000,3.519741
15100,3.511538
15200,3.508909
15300,3.506402
15400,3.506340
15500,3.505748
15600,3.503583
15700,3.503873
15800,3.496716
15900,3.492599
16000,3.489515
16100,3.486801
16200,3.483114
16300,3.476526
16400,3.473423
16500,3.469942
16600,3.466916
16700,3.464664
16800,3.461170
16900,3.455991
17000,3.454039
17100,3.450169
17200,3.448165
17300,3.444363
17400,3.440778
17500,3.436407
17600,3.433716
17700,3.427129
17800,3.424006
17900,3.424049
18000,3.421591
18100,3.419397
18200,3.419859
18300,3.421369
18400,3.418321
18500,3.418187
18600,3.412633
18700,3.409378
18800,3.407194
18900,3.408804
19000,3.409103
19100,3.407731
19200,3.400983
19300,3.395968
19400,3.391040
19500,3.384513
19600,3.378209
19700,3.373948
19800,3.371946
19900,3.367485
20000,3.360419
20100,3.358133
20200,3.353951
20300,3.353509
20400,3.350575
20500,3.347115
20600,3.341374
20700,3.340783
20800,3.335707
20900,3.335334
21000,3.335637
# RESET at symbol 21000
21100,3.349870
21200,3.356170
21300,3.359260
21400,3.362104
21500,3.361944
21600,3.364563
21700,3.365147
21800,3.367435
21900,3.372392
22000,3.371889
# RESET at symbol 22000
22100,3.381613
22200,3.385985
22300,3.385895
22400,3.383698
22500,3.389805
22600,3.392044
22700,3.393147
22800,3.394771
22900,3.395604
23000,3.396793
23100,3.397679
23200,3.401579
23300,3.402750
23400,3.402268
23500,3.398871
23600,3.400854
23700,3.404530
23800,3.406171
23900,3.406953
24000,3.407496
24100,3.407089
24200,3.408281
24300,3.408640
24400,3.405793
24500,3.405325
24600,3.403526
24700,3.402978
24800,3.400888
24900,3.400687
25000,3.399773
25100,3.398200
25200,3.398905
25300,3.395992
25400,3.393097
25500,3.392924
25600,3.391767
25700,3.391996
25800,3.390236
25900,3.392046
26000,3.390604
26100,3.390733
26200,3.390954
26300,3.388097
26400,3.385333
26500,3.383116
26600,3.380823
26700,3.379153
26800,3.376783
26900,3.374433
27000,3.370956
27100,3.369173
27200,3.366026
27300,3.363743
27400,3.361149
27500,3.361380
27600,3.358908
27700,3.356768
27800,3.357228
27900,3.353337
28000,3.350542
28100,3.349862
28200,3.348917
28300,3.344770
28400,3.342184
28500,3.340739
28600,3.339732
28700,3.337222
28800,3.335740
28900,3.331777
29000,3.329390
29100,3.327870
29200,3.325222
29300,3.321844
29400,3.318018
29500,3.316199
29600,3.313826
29700,3.310794
29800,3.308489
29900,3.304909
30000,3.303321
30100,3.299955
30200,3.298503
30300,3.295054
30400,3.293545
30500,3.293772
30600,3.291273
30700,3.290092
30800,3.286262
30900,3.284847
31000,3.282292
31100,3.278296
31200,3.274983
31300,3.272565
31400,3.269014
31500,3.265609
31600,3.263152
31700,3.261103
31800,3.260417
31900,3.258478
32000,3.256589
32100,3.255463
32200,3.254065
32300,3.252967
32400,3.250996
32500,3.249003
32600,3.248133
32700,3.247521
32800,3.247883
32900,3.244762
33000,3.249239
# RESET at symbol 33000
33100,3.257874
33200,3.260166
33300,3.263823
33400,3.267032
33500,3.269195
33600,3.269142
33700,3.270714
33800,3.270613
33900,3.270865
34000,3.272631
# RESET at symbol 34000
34100,3.279954
34200,3.282858
34300,3.283468
34400,3.283891
34500,3.285756
34600,3.288198
34700,3.289511
34800,3.288620
34900,3.292136
35000,3.294288
35100,3.295254
35200,3.296871
35300,3.295661
35400,3.294881
35500,3.293834
35600,3.293530
35700,3.295083
35800,3.296680
35900,3.296120
36000,3.294517
36100,3.294481
36200,3.294116
36300,3.293276
36400,3.292806
36500,3.293037
36600,3.292182
36700,3.292487
36800,3.291087
36900,3.290181
37000,3.292129
37100,3.290395
37200,3.288907
37300,3.288601
37400,3.286989
37500,3.284845
37600,3.283578
37700,3.282158
37800,3.281635
37900,3.279453
38000,3.278762
38100,3.278707
38200,3.278752
38300,3.279494
38400,3.278668
38500,3.278863
38600,3.277987
38700,3.277027
38800,3.276501
38900,3.279360
39000,3.277800
# RESET at symbol 39000
39100,3.285664
39200,3.289517
39300,3.292245
39400,3.294208
39500,3.293760
39600,3.296470
39700,3.298798
39800,3.299918
39900,3.299310
40000,3.300578
# RESET at symbol 40000
40100,3.305943
40200,3.309436
40300,3.310520
40400,3.309664
40500,3.310964
40600,3.313681
40700,3.314385
40800,3.316511
40900,3.319235
41000,3.320044
41100,3.321408
41200,3.322378
41300,3.324087
41400,3.325245
41500,3.325057
41600,3.324448
41700,3.324914
41800,3.324915
41900,3.323909
42000,3.323499
42100,3.322379
42200,3.322592
42300,3.323881
42400,3.323290
42500,3.322431
42600,3.323457
42700,3.323280
42800,3.322105
42900,3.321443
43000,3.320787
43100,3.321346
43200,3.319993
43300,3.320183
43400,3.318553
43500,3.317998
43600,3.317886
43700,3.316814
43800,3.314917
43900,3.316867
44000,3.317486
44100,3.317042
44200,3.316225
44300,3.315769
44400,3.314358
44500,3.314289
44600,3.314264
44700,3.313869
44800,3.313274
44900,3.313890
45000,3.313104
45100,3.311679
45200,3.309830
45300,3.307746
45400,3.306322
45500,3.305115
45600,3.303019
45700,3.302264
45800,3.301025
45900,3.300375
46000,3.299978
46100,3.298745
46200,3.297766
46300,3.296648
46400,3.295261
46500,3.294193
46600,3.292461
46700,3.292049
46800,3.291971
46900,3.291969
47000,3.291787
47100,3.290418
47200,3.288897
47300,3.287694
47400,3.287035
47500,3.286053
47600,3.286206
47700,3.284920
47800,3.283205
47900,3.282599
48000,3.282400
48100,3.280547
48200,3.279956
48300,3.279004
48400,3.278394
48500,3.276624
48600,3.275156
48700,3.274136
48800,3.273744
48900,3.272052
49000,3.270605
49100,3.269672
49200,3.269596
49300,3.266955
49400,3.265621
49500,3.264211
49600,3.262699
49700,3.261501
49800,3.259774
49900,3.257735
50000,3.257070
50100,3.256754
50200,3.255383
50300,3.254602
50400,3.253200
50500,3.252091
50600,3.249420
50700,3.248189
50800,3.246385
50900,3.245106
51000,3.244447
51100,3.243548
51200,3.242681
51300,3.241474
51400,3.240689
51500,3.240891
51600,3.239247
51700,3.238983
51800,3.238751
51900,3.238209
52000,3.237150
52100,3.236592
52200,3.235049
52300,3.233496
52400,3.232346
52500,3.231714
52600,3.230350
52700,3.229551
52800,3.227745
52900,3.226528
53000,3.225758
53100,3.225199
53200,3.223951
53300,3.222881
53400,3.221648
53500,3.219812
53600,3.217990
53700,3.216828
53800,3.214527
53900,3.213964
54000,3.213721
54100,3.213522
54200,3.213206
54300,3.212947
54400,3.212169
54500,3.212033
54600,3.211337
54700,3.211415
54800,3.210489
54900,3.209445
55000,3.207498
55100,3.206367
55200,3.205473
55300,3.204030
55400,3.202311
55500,3.200830
55600,3.200084
55700,3.199004
55800,3.199125
55900,3.198696
