n_simbolos_processados,comprimento_medio_progressivo
100,6.604978
200,5.522077
300,5.190931
400,4.885032
500,4.721837
600,4.631229
700,4.411673
800,4.212986
900,4.028180
1000,3.922324
1100,3.995626
1200,3.952744
1300,3.936618
1400,3.898396
1500,3.791369
1600,3.788599
1700,3.795288
1800,3.793202
1900,3.758991
2000,3.716790
2100,3.729026
2200,3.711776
2300,3.699219
2400,3.674371
2500,3.661594
2600,3.648403
2700,3.613986
2800,3.627728
2900,3.595802
3000,3.576767
3100,3.537122
3200,3.550113
3300,3.567114
3400,3.579540
3500,3.607851
3600,3.610653
3700,3.600164
3800,3.629598
3900,3.630175
4000,3.637293
4100,3.617840
4200,3.611107
4300,3.656326
4400,3.650334
4500,3.646013
4600,3.633245
4700,3.644546
4800,3.658894
4900,3.639750
5000,3.636005
5100,3.621437
5200,3.609001
5300,3.592825
5400,3.571325
5500,3.561305
5600,3.542597
5700,3.541574
5800,3.520878
5900,3.517801
6000,3.501380
6100,3.501877
6200,3.497529
6300,3.487565
6400,3.511951
6500,3.498451
6600,3.479950
6700,3.506017
6800,3.526793
6900,3.533490
7000,3.510592
7100,3.495972
7200,3.471917
7300,3.461030
7400,3.445246
7500,3.459602
7600,3.462115
7700,3.462136
7800,3.460992
7900,3.449522
8000,3.446327
8100,3.430640
8200,3.419712
8300,3.413056
8400,3.394124
8500,3.382390
8600,3.368603
8700,3.355871
8800,3.351596
8900,3.351406
9000,3.352673
9100,3.348853
9200,3.350899
9300,3.335686
9400,3.324873
9500,3.322272
9600,3.316575
9700,3.307076
9800,3.294753
9900,3.284082
10000,3.270872
10100,3.269875
10200,3.267548
10300,3.254737
10400,3.251657
10500,3.256940
10600,3.251503
10700,3.242987
10800,3.227277
10900,3.221109
11000,3.220623
11100,3.224430
11200,3.230735
11300,3.225956
11400,3.227179
11500,3.230136
11600,3.229519
11700,3.234700
11800,3.238154
11900,3.236254
12000,3.236114
12100,3.239277
12200,3.235927
12300,3.228541
12400,3.227792
12500,3.225318
12600,3.228349
12700,3.225082
12800,3.224299
12900,3.220583
13000,3.217490
13100,3.209406
13200,3.207633
13300,3.206831
13400,3.202824
13500,3.203488
13600,3.201446
13700,3.198095
13800,3.196044
13900,3.193396
14000,3.187218
14100,3.182315
14200,3.180648
14300,3.179780
14400,3.176529
14500,3.175480
14600,3.178741
14700,3.179243
14800,3.177305
14900,3.176118
15000,3.177958
15100,3.172822
15200,3.171715
15300,3.171967
15400,3.174370
15500,3.176211
15600,3.175975
15700,3.173961
15800,3.169912
15900,3.168505
16000,3.168030
16100,3.165803
16200,3.164962
16300,3.161020
16400,3.159184
16500,3.157750
16600,3.156694
16700,3.154806
16800,3.153436
16900,3.149460
17000,3.149796
17100,3.148627
17200,3.148491
17300,3.146553
17400,3.144515
17500,3.142316
17600,3.140192
17700,3.135695
17800,3.134019
17900,3.134217
18000,3.134037
18100,3.133531
18200,3.133317
18300,3.133822
18400,3.131410
18500,3.132576
18600,3.128919
18700,3.127817
18800,3.125510
18900,3.128322
19000,3.129624
19100,3.128625
19200,3.124599
19300,3.120984
19400,3.117717
19500,3.112343
19600,3.108408
19700,3.105711
19800,3.101785
19900,3.098048
20000,3.092597
20100,3.091410
20200,3.088566
20300,3.085976
20400,3.085219
20500,3.083071
20600,3.078939
20700,3.080475
20800,3.076408
20900,3.078025
21000,3.079006
21100,3.080260
21200,3.077603
21300,3.076004
21400,3.074684
21500,3.073452
21600,3.072574
21700,3.068962
21800,3.066773
21900,3.067650
22000,3.067047
22100,3.066061
22200,3.064846
22300,3.062200
22400,3.060859
22500,3.057050
22600,3.055959
22700,3.053455
22800,3.051503
22900,3.047719
23000,3.046977
23100,3.046130
23200,3.045822
23300,3.045004
23400,3.042934
23500,3.038577
23600,3.038368
23700,3.040823
23800,3.040793
23900,3.041055
24000,3.040783
24100,3.040813
24200,3.040537
24300,3.039353
24400,3.035735
24500,3.034069
24600,3.033016
24700,3.032021
24800,3.031121
24900,3.032142
25000,3.029751
25100,3.029467
25200,3.028840
25300,3.025986
25400,3.022935
25500,3.022262
25600,3.020498
25700,3.018757
25800,3.015375
25900,3.016655
26000,3.015706
26100,3.015099
26200,3.015034
26300,3.013184
26400,3.011721
26500,3.010618
26600,3.008211
26700,3.007489
26800,3.005762
26900,3.004013
27000,3.000693
27100,3.000040
27200,2.997754
27300,2.996296
27400,2.994426
27500,2.994123
27600,2.992799
27700,2.990853
27800,2.990410
27900,2.987121
28000,2.985461
28100,2.983974
28200,2.983817
28300,2.981164
28400,2.978404
28500,2.977641
28600,2.976983
28700,2.974842
28800,2.972144
28900,2.968834
29000,2.966838
29100,2.965766
29200,2.964124
29300,2.960986
29400,2.958029
29500,2.956261
29600,2.954541
29700,2.951705
29800,2.950444
29900,2.947361
30000,2.944470
30100,2.941300
30200,2.939082
30300,2.936273
30400,2.934825
30500,2.934430
30600,2.933587
30700,2.932188
30800,2.928971
30900,2.927292
31000,2.925461
31100,2.922585
31200,2.919922
31300,2.918127
31400,2.915127
31500,2.912980
31600,2.910502
31700,2.909016
31800,2.908657
31900,2.907342
32000,2.905568
32100,2.905319
32200,2.904141
32300,2.903128
32400,2.902280
32500,2.900418
32600,2.900277
32700,2.900293
32800,2.899242
32900,2.896260
33000,2.894541
33100,2.892369
33200,2.890585
33300,2.889192
33400,2.887277
33500,2.886816
33600,2.885173
33700,2.883904
33800,2.882389
33900,2.880315
34000,2.878024
34100,2.875574
34200,2.874555
34300,2.874376
34400,2.873643
34500,2.871038
34600,2.868633
34700,2.866642
34800,2.863859
34900,2.864010
35000,2.864565
35100,2.863359
35200,2.864028
35300,2.862173
35400,2.860132
35500,2.857628
35600,2.857232
35700,2.858373
35800,2.859985
35900,2.859258
36000,2.857490
36100,2.855448
36200,2.854891
36300,2.854625
36400,2.854338
36500,2.853827
36600,2.852512
36700,2.850670
36800,2.849176
36900,2.848729
37000,2.849379
37100,2.847089
37200,2.845388
37300,2.844107
37400,2.842321
37500,2.840349
37600,2.837757
37700,2.837184
37800,2.835492
37900,2.833991
38000,2.833034
38100,2.833190
38200,2.832439
38300,2.831872
38400,2.831306
38500,2.832241
38600,2.831107
38700,2.829283
38800,2.828888
38900,2.830427
39000,2.830123
39100,2.828867
39200,2.828521
39300,2.828961
39400,2.830044
39500,2.829680
39600,2.829647
39700,2.829445
39800,2.829555
39900,2.827498
40000,2.826718
40100,2.826298
40200,2.826486
40300,2.825328
40400,2.824060
40500,2.824115
40600,2.824428
40700,2.823250
40800,2.821223
40900,2.819783
41000,2.819633
41100,2.819224
41200,2.819242
41300,2.818764
41400,2.818518
41500,2.816959
41600,2.816367
41700,2.815819
41800,2.816344
41900,2.815342
42000,2.814949
42100,2.813805
42200,2.814258
42300,2.813913
42400,2.811837
42500,2.810764
42600,2.809161
42700,2.808828
42800,2.807350
42900,2.806193
43000,2.805179
43100,2.804420
43200,2.803335
43300,2.803875
43400,2.802621
43500,2.802220
43600,2.801976
43700,2.800552
43800,2.798429
43900,2.797472
44000,2.798169
44100,2.797602
44200,2.796605
44300,2.796611
44400,2.795534
44500,2.794484
44600,2.794788
44700,2.794504
44800,2.793116
44900,2.792840
45000,2.792696
45100,2.792189
45200,2.791195
45300,2.789850
45400,2.788658
45500,2.787322
45600,2.786105
45700,2.785539
45800,2.784614
45900,2.783171
46000,2.783454
46100,2.782636
46200,2.782581
46300,2.781878
46400,2.781472
46500,2.780133
46600,2.779255
46700,2.778657
46800,2.778819
46900,2.778455
47000,2.778800
47100,2.777576
47200,2.776209
47300,2.774964
47400,2.774676
47500,2.774069
47600,2.773906
47700,2.772355
47800,2.771619
47900,2.771746
48000,2.771614
48100,2.771076
48200,2.771081
48300,2.771155
48400,2.770763
48500,2.769927
48600,2.769077
48700,2.768985
48800,2.767300
48900,2.766238
49000,2.765042
49100,2.764906
49200,2.765411
49300,2.763927
49400,2.763684
49500,2.762927
49600,2.761181
49700,2.760939
49800,2.759615
49900,2.758023
50000,2.756903
50100,2.757020
50200,2.756185
50300,2.755768
50400,2.754955
50500,2.754181
50600,2.752784
50700,2.752089
50800,2.750935
50900,2.750319
51000,2.750027
51100,2.748807
51200,2.748259
51300,2.747603
51400,2.746925
51500,2.747151
51600,2.746156
51700,2.746050
51800,2.745749
51900,2.745887
52000,2.745388
52100,2.744811
52200,2.743731
52300,2.742735
52400,2.742045
52500,2.741790
52600,2.740701
52700,2.740456
52800,2.739343
52900,2.738703
53000,2.738343
53100,2.737956
53200,2.737053
53300,2.736495
53400,2.735865
53500,2.734719
53600,2.732979
53700,2.732507
53800,2.730705
53900,2.730217
54000,2.730338
54100,2.730486
54200,2.730513
54300,2.731017
54400,2.730943
54500,2.731109
54600,2.731585
54700,2.732088
54800,2.731754
54900,2.731235
55000,2.729773
55100,2.729242
55200,2.728975
55300,2.728368
55400,2.726986
55500,2.726058
55600,2.725994
55700,2.725303
55800,2.725610
55900,2.725293
56000,2.725136
56100,2.724645
56200,2.723908
56300,2.723169
56400,2.723255
56500,2.723484
56600,2.722488
56700,2.722221
56800,2.722027
56900,2.721452
57000,2.721106
57100,2.720993
57200,2.719975
57300,2.718765
57400,2.719310
